loop 11
         2030025 function calls (2022494 primitive calls) in 39.820 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1640    0.000    0.000    0.000    0.000 proxy.py:4(connection_requires_http_tunnel)
     1640    0.008    0.000    0.019    0.000 queue.py:122(put)
     3280    0.001    0.000    0.002    0.000 queue.py:15(_qsize)
     1640    0.006    0.000    0.017    0.000 queue.py:154(get)
     1640    0.001    0.000    0.001    0.000 queue.py:18(_put)
     1640    0.001    0.000    0.001    0.000 queue.py:21(_get)
     1640    0.018    0.000   10.371    0.006 remote_connection.py:355(execute)
     1640    0.024    0.000   10.277    0.006 remote_connection.py:376(_request)
     1639    0.002    0.000    0.003    0.000 remote_connection.py:420(<listcomp>)
     1640    0.007    0.000    0.018    0.000 remote_connection.py:73(get_remote_connection_headers)
     1640    0.006    0.000   10.170    0.006 request.py:58(request)
      217    0.001    0.000    1.319    0.006 request.py:82(request_encode_url)
     1423    0.005    0.000    8.845    0.006 request.py:98(request_encode_body)
     1640    0.001    0.000    0.001    0.000 request.py:98(set_file_position)
     1640    0.014    0.000    0.088    0.000 response.py:195(__init__)
     3280    0.001    0.000    0.002    0.000 response.py:251(<genexpr>)
     1640    0.001    0.000    0.001    0.000 response.py:262(get_redirect_location)
     1640    0.001    0.000    0.001    0.000 response.py:275(release_conn)
     1640    0.001    0.000    0.001    0.000 response.py:293(data)
     1640    0.006    0.000    0.012    0.000 response.py:317(_init_length)
     1640    0.001    0.000    0.001    0.000 response.py:343(<listcomp>)
     1640    0.003    0.000    0.006    0.000 response.py:369(_init_decoder)
     1640    0.002    0.000    0.002    0.000 response.py:392(_decode)
     1640    0.005    0.000    0.016    0.000 response.py:40(assert_header_parsing)
     1640    0.000    0.000    0.000    0.000 response.py:414(_flush_decoder)
     3280    0.003    0.000    0.004    0.000 response.py:425(_error_catcher)
     1640    0.011    0.000    0.054    0.000 response.py:481(read)
     1640    0.011    0.000    0.141    0.000 response.py:581(from_httplib)
     4918    0.003    0.000    0.011    0.000 response.py:617(getheader)
     1640    0.001    0.000    0.005    0.000 response.py:625(close)
     3280    0.004    0.000    0.005    0.000 response.py:635(closed)
     1640    0.001    0.000    0.001    0.000 retry.py:322(from_int)
     1640    0.003    0.000    0.003    0.000 retry.py:430(_is_method_retryable)
     1640    0.002    0.000    0.005    0.000 retry.py:450(is_retry)
     6560    0.004    0.000    0.006    0.000 six.py:939(ensure_str)
    11480    0.006    0.000    0.009    0.000 six.py:959(ensure_text)
     1640    0.015    0.000    0.021    0.000 socket.py:302(makefile)
     1640    0.002    0.000    0.002    0.000 socket.py:487(_decref_socketios)
     1640    0.005    0.000    0.005    0.000 socket.py:678(__init__)
     1640    0.006    0.000    8.777    0.005 socket.py:690(readinto)
     3280    0.001    0.000    0.001    0.000 socket.py:729(readable)
     1640    0.003    0.000    0.005    0.000 socket.py:767(close)
    95/14    0.001    0.000    0.849    0.061 solver.py:101(read_pocket)
      217    0.002    0.000   25.688    0.118 solver.py:111(click_cell)
      632    0.002    0.000   27.976    0.044 solver.py:116(reveal)
       99    0.000    0.000    0.000    0.000 solver.py:126(flag)
       87    0.000    0.000    0.000    0.000 solver.py:135(flag_all)
      409    0.001    0.000   27.709    0.068 solver.py:143(reveal_all)
       12    0.001    0.000    0.001    0.000 solver.py:164(load_board)
     2656    0.002    0.000    0.023    0.000 solver.py:174(n_adj)
        1    0.007    0.007   39.827   39.827 solver.py:181(solve)
      480    0.000    0.000    0.000    0.000 solver.py:22(__init__)
      940    0.002    0.000    4.057    0.004 solver.py:45(get_value_of_elem)
        1    0.002    0.002    4.953    4.953 solver.py:56(initialize_cells)
     6028    0.032    0.000    0.038    0.000 solver.py:72(get_neighbors_of)
     5511    0.008    0.000    0.043    0.000 solver.py:90(get_neighbors_with_value)
     1640    0.003    0.000    0.014    0.000 string.py:104(substitute)
     1857    0.003    0.000    0.005    0.000 string.py:110(convert)
     1640    0.001    0.000    0.001    0.000 string.py:87(__init__)
     3280    0.003    0.000    0.004    0.000 threading.py:256(__enter__)
     3280    0.002    0.000    0.003    0.000 threading.py:259(__exit__)
     3280    0.002    0.000    0.004    0.000 threading.py:271(_is_owned)
     3280    0.006    0.000    0.010    0.000 threading.py:351(notify)
     3280    0.008    0.000    0.012    0.000 timeout.py:102(__init__)
     9840    0.004    0.000    0.004    0.000 timeout.py:119(_validate_timeout)
     3280    0.006    0.000    0.018    0.000 timeout.py:181(clone)
     1640    0.002    0.000    0.003    0.000 timeout.py:195(start_connect)
     3280    0.002    0.000    0.002    0.000 timeout.py:220(connect_timeout)
     1640    0.001    0.000    0.001    0.000 timeout.py:238(read_timeout)
     1640    0.001    0.000    0.001    0.000 url.py:114(request_uri)
     6560    0.177    0.000    0.249    0.000 url.py:210(_encode_invalid_chars)
     3280    0.012    0.000    0.021    0.000 url.py:244(_remove_path_dot_segments)
     3280    0.004    0.000    0.007    0.000 url.py:274(_normalize_host)
     1640    0.003    0.000    0.083    0.000 url.py:320(_encode_target)
     3280    0.033    0.000    0.277    0.000 url.py:330(parse_url)
    19680    0.005    0.000    0.010    0.000 url.py:411(ensure_type)
     3280    0.007    0.000    0.012    0.000 url.py:91(__new__)
     1640    0.003    0.000    0.058    0.000 utils.py:32(dump_json)
     1639    0.002    0.000    0.020    0.000 utils.py:36(load_json)
    14760    0.006    0.000    0.008    0.000 utils.py:51(_has_surrogates)
     1640    0.005    0.000    0.065    0.000 wait.py:102(do_poll)
     1640    0.003    0.000    0.079    0.000 wait.py:142(wait_for_read)
     1640    0.002    0.000    0.067    0.000 wait.py:42(_retry_on_intr)
     1640    0.007    0.000    0.076    0.000 wait.py:90(poll_wait_for_socket)
8218/1640    0.015    0.000    0.020    0.000 webdriver.py:267(_wrap_value)
     2820    0.002    0.000    0.005    0.000 webdriver.py:276(<genexpr>)
      480    0.001    0.000    0.001    0.000 webdriver.py:280(create_web_element)
2511/1639    0.003    0.000    0.005    0.000 webdriver.py:284(_unwrap_value)
     1640    0.011    0.000   10.408    0.006 webdriver.py:301(execute)
        1    0.000    0.000    1.750    1.750 webdriver.py:329(get)
      480    0.001    0.000    3.178    0.007 webdriver.py:345(find_element_by_id)
      940    0.004    0.000    4.047    0.004 webdriver.py:616(execute_script)
        1    0.000    0.000    0.082    0.082 webdriver.py:739(fullscreen_window)
        1    0.000    0.000    0.007    0.007 webdriver.py:824(refresh)
      480    0.002    0.000    3.177    0.007 webdriver.py:954(find_element)
      940    0.007    0.000    4.055    0.004 webelement.py:114(get_attribute)
      217    0.001    0.000    1.353    0.006 webelement.py:528(location)
