6 seconds

loop 12
         1532162 function calls (1526568 primitive calls) in 16.731 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1195    0.001    0.000    0.001    0.000 request.py:98(set_file_position)
     1195    0.011    0.000    0.067    0.000 response.py:195(__init__)
     2390    0.001    0.000    0.001    0.000 response.py:251(<genexpr>)
     1195    0.001    0.000    0.001    0.000 response.py:262(get_redirect_location)
     1195    0.000    0.000    0.000    0.000 response.py:275(release_conn)
     1195    0.000    0.000    0.000    0.000 response.py:293(data)
     1195    0.005    0.000    0.009    0.000 response.py:317(_init_length)
     1195    0.001    0.000    0.001    0.000 response.py:343(<listcomp>)
     1195    0.002    0.000    0.004    0.000 response.py:369(_init_decoder)
     1195    0.001    0.000    0.002    0.000 response.py:392(_decode)
     1195    0.004    0.000    0.013    0.000 response.py:40(assert_header_parsing)
     1195    0.000    0.000    0.000    0.000 response.py:414(_flush_decoder)
     2390    0.002    0.000    0.003    0.000 response.py:425(_error_catcher)
     1195    0.008    0.000    0.041    0.000 response.py:481(read)
     1195    0.009    0.000    0.109    0.000 response.py:581(from_httplib)
     3585    0.002    0.000    0.008    0.000 response.py:617(getheader)
     1195    0.001    0.000    0.003    0.000 response.py:625(close)
     2390    0.002    0.000    0.003    0.000 response.py:635(closed)
     1195    0.001    0.000    0.001    0.000 retry.py:322(from_int)
     1195    0.002    0.000    0.003    0.000 retry.py:430(_is_method_retryable)
     1195    0.001    0.000    0.004    0.000 retry.py:450(is_retry)
     4780    0.003    0.000    0.005    0.000 six.py:939(ensure_str)
     8365    0.004    0.000    0.007    0.000 six.py:959(ensure_text)
     1195    0.012    0.000    0.017    0.000 socket.py:302(makefile)
     1195    0.001    0.000    0.001    0.000 socket.py:487(_decref_socketios)
     1195    0.004    0.000    0.004    0.000 socket.py:678(__init__)
     1195    0.005    0.000    8.325    0.007 socket.py:690(readinto)
     2390    0.001    0.000    0.001    0.000 socket.py:729(readable)
     1195    0.003    0.000    0.004    0.000 socket.py:767(close)
   178/10    0.001    0.000    1.264    0.126 solver.py:105(read_pocket)
      181    0.001    0.000    3.207    0.018 solver.py:115(click_cell)
      555    0.001    0.000    5.974    0.011 solver.py:120(reveal)
       99    0.000    0.000    0.000    0.000 solver.py:130(flag)
       88    0.000    0.000    0.000    0.000 solver.py:139(flag_all)
      334    0.000    0.000    5.665    0.017 solver.py:147(reveal_all)
       13    0.001    0.000    0.001    0.000 solver.py:168(load_board)
     3590    0.003    0.000    0.029    0.000 solver.py:178(n_adj)
        1    0.007    0.007   16.735   16.735 solver.py:185(solve)
      480    0.000    0.000    0.000    0.000 solver.py:24(__init__)
      531    0.002    0.000    2.763    0.005 solver.py:47(get_value_of_elem)
        1    0.002    0.002    3.271    3.271 solver.py:60(initialize_cells)
     7933    0.040    0.000    0.047    0.000 solver.py:76(get_neighbors_of)
     7356    0.011    0.000    0.055    0.000 solver.py:94(get_neighbors_with_value)
       27    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       18    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       27    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
    27/18    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       18    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
       36    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       18    0.000    0.000    0.001    0.000 sre_compile.py:598(_code)
       27    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
    63/18    0.000    0.000    0.001    0.000 sre_compile.py:71(_compile)
       18    0.000    0.000    0.004    0.000 sre_compile.py:759(compile)
       63    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      117    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      647    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       27    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      404    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
    81/36    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
       18    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      521    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      135    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      467    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       99    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       36    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       18    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
    36/18    0.000    0.000    0.003    0.000 sre_parse.py:435(_parse_sub)
    36/18    0.001    0.000    0.003    0.000 sre_parse.py:493(_parse)
       18    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       72    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       18    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       18    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       18    0.000    0.000    0.003    0.000 sre_parse.py:937(parse)
       18    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
     1195    0.002    0.000    0.009    0.000 string.py:104(substitute)
     1376    0.002    0.000    0.003    0.000 string.py:110(convert)
     1195    0.001    0.000    0.001    0.000 string.py:87(__init__)
     2390    0.002    0.000    0.003    0.000 threading.py:256(__enter__)
     2390    0.002    0.000    0.002    0.000 threading.py:259(__exit__)
     2390    0.001    0.000    0.003    0.000 threading.py:271(_is_owned)
     2390    0.005    0.000    0.008    0.000 threading.py:351(notify)
     2390    0.006    0.000    0.008    0.000 timeout.py:102(__init__)
     7170    0.003    0.000    0.003    0.000 timeout.py:119(_validate_timeout)
     2390    0.005    0.000    0.014    0.000 timeout.py:181(clone)
     1195    0.002    0.000    0.002    0.000 timeout.py:195(start_connect)
     2390    0.001    0.000    0.001    0.000 timeout.py:220(connect_timeout)
     1195    0.001    0.000    0.001    0.000 timeout.py:238(read_timeout)
     1195    0.001    0.000    0.001    0.000 url.py:114(request_uri)
     4780    0.124    0.000    0.174    0.000 url.py:210(_encode_invalid_chars)
     2390    0.008    0.000    0.014    0.000 url.py:244(_remove_path_dot_segments)
     2390    0.002    0.000    0.005    0.000 url.py:274(_normalize_host)
     1195    0.002    0.000    0.059    0.000 url.py:320(_encode_target)
     2390    0.023    0.000    0.192    0.000 url.py:330(parse_url)
    14340    0.004    0.000    0.007    0.000 url.py:411(ensure_type)
     2390    0.005    0.000    0.009    0.000 url.py:91(__new__)
     1195    0.002    0.000    0.034    0.000 utils.py:32(dump_json)
     1195    0.002    0.000    0.015    0.000 utils.py:36(load_json)
    10755    0.004    0.000    0.006    0.000 utils.py:51(_has_surrogates)
     1195    0.003    0.000    0.045    0.000 wait.py:102(do_poll)
        1    0.000    0.000    0.000    0.000 wait.py:114(_have_working_poll)
        1    0.000    0.000    0.000    0.000 wait.py:127(wait_for_socket)
     1195    0.002    0.000    0.057    0.000 wait.py:142(wait_for_read)
     1196    0.001    0.000    0.047    0.000 wait.py:42(_retry_on_intr)
