time: 5
loop 13
         1895504 function calls (1888705 primitive calls) in 17.013 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   109924    0.019    0.000    0.025    0.000 {built-in method builtins.isinstance}
    40730    0.006    0.000    0.006    0.000 {built-in method builtins.len}
      510    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     2876    0.001    0.000    0.004    0.000 {built-in method builtins.next}
   279009    0.022    0.000    0.022    0.000 {built-in method builtins.ord}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.print}
     1402    0.001    0.000    0.001    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.000    0.000 {built-in method math.floor}
     1438    0.001    0.000    0.001    0.000 {built-in method select.poll}
     1438    0.001    0.000    0.001    0.000 {built-in method time.monotonic}
      669    7.355    0.011    7.355    0.011 {built-in method time.sleep}
     2876    0.002    0.000    0.003    0.000 {function HTTPResponse.close at 0x10f70e550}
     1438    0.000    0.000    0.000    0.000 {function HTTPResponse.flush at 0x10f70e5e0}
     2876    0.002    0.000    0.002    0.000 {method '__enter__' of '_thread.lock' objects}
     2876    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
     2876    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
     1438    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     1438    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     2876    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
    86858    0.009    0.000    0.009    0.000 {method 'add' of 'set' objects}
     1438    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
    41728    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
       50    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
     1438    0.004    0.000    0.009    0.000 {method 'close' of '_io.BufferedReader' objects}
     5752    0.002    0.000    0.002    0.000 {method 'copy' of 'dict' objects}
     4314    0.002    0.000    0.002    0.000 {method 'count' of 'bytes' objects}
     5752    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     4314    0.002    0.000    0.002    0.000 {method 'decode' of 'bytearray' objects}
   283323    0.027    0.000    0.027    0.000 {method 'decode' of 'bytes' objects}
      225    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
    40262    0.009    0.000    0.009    0.000 {method 'encode' of 'str' objects}
     2876    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
     4314    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     2876    0.001    0.000    0.001    0.000 {method 'extend' of 'collections.deque' objects}
     1438    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     7792    0.003    0.000    0.003    0.000 {method 'find' of 'str' objects}
     1933    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     9586    0.007    0.000    0.007    0.000 {method 'fullmatch' of 're.Pattern' objects}
     9335    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     1918    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     5752    0.002    0.000    0.002    0.000 {method 'groups' of 're.Match' objects}
      770    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
      510    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
     1441    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     4795    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
    12462    0.003    0.000    0.003    0.000 {method 'join' of 'bytes' objects}
    14379    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     1439    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
    87010    0.012    0.000    0.012    0.000 {method 'lower' of 'str' objects}
     4314    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
    18694    0.024    0.000    0.024    0.000 {method 'match' of 're.Pattern' objects}
     5752    0.002    0.000    0.002    0.000 {method 'partition' of 'str' objects}
     1438    0.050    0.000    0.050    0.000 {method 'poll' of 'select.poll' objects}
     1438    0.003    0.000    0.003    0.000 {method 'pop' of 'collections.OrderedDict' objects}
     1438    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
     5752    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     1468    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1438    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
     5752    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
     1438    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
     2876    0.001    0.000    0.001    0.000 {method 'read' of '_io.StringIO' objects}
     7190    0.008    0.000    8.043    0.001 {method 'readline' of '_io.BufferedReader' objects}
     2876    0.006    0.000    0.006    0.000 {method 'readlines' of '_io._IOBase' objects}
     1438    8.028    0.006    8.028    0.006 {method 'recv_into' of '_socket.socket' objects}
     1438    0.002    0.000    0.002    0.000 {method 'register' of 'select.poll' objects}
     1438    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     5752    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
    16776    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
     5752    0.001    0.000    0.001    0.000 {method 'seek' of '_io.StringIO' objects}
     2396    0.029    0.000    0.029    0.000 {method 'sendall' of '_socket.socket' objects}
     4314    0.002    0.000    0.002    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
     1438    0.005    0.000    0.005    0.000 {method 'settimeout' of '_socket.socket' objects}
    17255    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
    20130    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
    15817    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
     1438    0.005    0.000    0.009    0.000 {method 'sub' of 're.Pattern' objects}
     4314    0.004    0.000    0.004    0.000 {method 'subn' of 're.Pattern' objects}
     2876    0.001    0.000    0.001    0.000 {method 'truncate' of '_io.StringIO' objects}
     5272    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     3356    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
     1438    0.001    0.000    0.001    0.000 {method 'write' of '_io.StringIO' objects}


Traceback (most recent call last):
  File "/Users/tommymartinson/minesweeper_solver/python/solver.py", line 341, in <module>
    solve_forever()
  File "/Users/tommymartinson/minesweeper_solver/python/solver.py", line 334, in solve_forever
    cProfile.run("solve()")
  File "/usr/local/Cellar/python@3.9/3.9.1_8/Frameworks/Python.framework/Versions/3.9/lib/python3.9/cProfile.py", line 16, in run
    return _pyprofile._Utils(Profile).run(statement, filename, sort)
  File "/usr/local/Cellar/python@3.9/3.9.1_8/Frameworks/Python.framework/Versions/3.9/lib/python3.9/profile.py", line 53, in run
    prof.run(statement)
  File "/usr/local/Cellar/python@3.9/3.9.1_8/Frameworks/Python.framework/Versions/3.9/lib/python3.9/cProfile.py", line 95, in run
    return self.runctx(cmd, dict, dict)
  File "/usr/local/Cellar/python@3.9/3.9.1_8/Frameworks/Python.framework/Versions/3.9/lib/python3.9/cProfile.py", line 100, in runctx
    exec(cmd, globals, locals)
  File "<string>", line 1, in <module>
  File "/Users/tommymartinson/minesweeper_solver/python/solver.py", line 243, in solve
    num_clicks += reveal_all(blank)
  File "/Users/tommymartinson/minesweeper_solver/python/solver.py", line 151, in reveal_all
    total_clicks += reveal(cell)
  File "/Users/tommymartinson/minesweeper_solver/python/solver.py", line 124, in reveal
    cell.value = get_value_of_elem(cell.elem)
  File "/Users/tommymartinson/minesweeper_solver/python/solver.py", line 49, in get_value_of_elem
    class_name = elem.get_attribute('class')
  File "/Users/tommymartinson/minesweeper_solver/venv/lib/python3.9/site-packages/selenium/webdriver/remote/webelement.py", line 139, in get_attribute
